A000 BASIC_COLD_START
A002 BASIC_WARM_START
A004 BASIC_CBMBASIC
A00C BASIC_CMD_ADDRS
A052 BASIC_FUNC_ADDRS
A080 BASIC_OP_TABLE
A09E BASIC_KEYWORDS
A129 BASIC_KEYWORDS2
A140 BASIC_OP_KEYWORDS
A14D BASIC_FN_KEYWORDS
A19E BASIC_ERR_MSGS
A328 BASIC_ERR_PTRS
A364 BASIC_MESSAGES
A38A BASIC_FNDFOR
A3B8 BASIC_BLTU
A3BF BASIC_BLTUC
A3FB BASIC_GETSTK
A408 BASIC_REASON
A435 BASIC_OMERR
A437 BASIC_ERROR
A480 BASIC_MAIN
A49C BASIC_LININS
A533 BASIC_LNKPRG
A560 BASIC_INLIN
A579 BASIC_CRUNCH
A613 BASIC_FNDLIN
A642 BASIC_NEW
A659 BASIC_RUNC
A65E BASIC_CLR
A67A BASIC_STKINI
A68E BASIC_STXTPT
A69C BASIC_LIST
A717 BASIC_QPLOP
A742 BASIC_FOR
A7AE BASIC_NEWSTT
A7C4 BASIC_CKEOL
A7E1 BASIC_GONE
A7ED BASIC_GONE3
A81D BASIC_RESTORE
A82C BASIC_STOP
A831 BASIC_END
A857 BASIC_CONT
A871 BASIC_RUN
A883 BASIC_GOSUB
A8A0 BASIC_GOTO
A8D2 BASIC_RETURN
A8F8 BASIC_DATA
A906 BASIC_DTEFND
A928 BASIC_IF
A93B BASIC_REM
A94B BASIC_ON
A96B BASIC_LINGET
A9A5 BASIC_LET
A9C4 BASIC_PUTINT
A9D6 BASIC_PTFLPT
A9D9 BASIC_PUTSTR
A9E3 BASIC_TISTR
AA1D BASIC_INPCOM
AA27 BASIC_ADDPRC
AA2C BASIC_STRVAR
AA80 BASIC_PRINTH
AA86 BASIC_CMD
AAA0 BASIC_PRINT
AAB8 BASIC_VARONE
AACA BASIC_STRDON
AAD7 BASIC_CRDO
AAF8 BASIC_COMPRT
AB1E BASIC_STROUT
AB3B BASIC_OUTSPC
AB3F BASIC_OUTSP
AB42 BASIC_OUTCH
AB45 BASIC_OUTQST
AB47 BASIC_OUTDO
AB4D BASIC_ERRDIR
AB7B BASIC_GET
ABA5 BASIC_INPUTH
ABBF BASIC_INPUT
ABEA BASIC_BUFFUL
ABF9 BASIC_QINLIN
AC06 BASIC_RDGET
AC35 BASIC_RDAGIN
ACFC BASIC_EXREDO
AD1D BASIC_NEXT
AD61 BASIC_CHKVAL
AD8A BASIC_FRMNUM
AD9E BASIC_FRMEVL
AE83 BASIC_EVAL
AEA8 BASIC_PI
AEF1 BASIC_PARCHK
AEF7 BASIC_CHKCLS
AEFA BASIC_CHKOPN
AEFD BASIC_CHKCOM
AF08 BASIC_SYNERR
AF0D BASIC_NOTOP
AF14 BASIC_RESVAR
AF28 BASIC_GETVAR
AF48 BASIC_RDCLCK
AFA7 BASIC_ISFFN
AFB1 BASIC_STRFN
AFD1 BASIC_NUMFN
AFE6 BASIC_ORONE
B016 BASIC_DOREL
B01B BASIC_NUMREL
B02E BASIC_STRREL
B081 BASIC_DIM
B08B BASIC_PTRGET
B0E7 BASIC_BLTVAR
B113 BASIC_CHKVAR
B11D BASIC_CRTVAR
B194 BASIC_ARYPTR
B1A5 BASIC_N32768
B1AA BASIC_FARONE
B1B2 BASIC_INTIDX
B1BF BASIC_AYINT
B1D1 BASIC_ISARY
B218 BASIC_FNDARY
B245 BASIC_BSERR
B248 BASIC_FCERR
B24D BASIC_RDARAY
B261 BASIC_CRTARY
B30E BASIC_ARYGET
B34C BASIC_ARYDIS
B37D BASIC_FRE
B391 BASIC_GIVAYF
B39E BASIC_POS
B3A2 BASIC_SNGFLT
B3A6 BASIC_CHKDIR
B3AE BASIC_UFERR
B3B3 BASIC_DEF
B3E1 BASIC_CHKFN
B3F4 BASIC_FN
B465 BASIC_STRD
B475 BASIC_STRLIT
B487 BASIC_GETSPA
B4CA BASIC_STRINI
B4F4 BASIC_STRSPA
B526 BASIC_GARBAG
B606 BASIC_GCOL
B63D BASIC_CAT
B67A BASIC_MOVSTR
B6A3 BASIC_FRESTR
B6DB BASIC_FRETMP
B6EC BASIC_CHRD
B700 BASIC_LEFTD
B72C BASIC_RIGHTD
B737 BASIC_MIDD
B761 BASIC_PREAM
B77C BASIC_LEN
B782 BASIC_GETSTR
B78B BASIC_ASC
B79B BASIC_GETBYT
